,type,title,listed_in,score
0,movie,duck the halls: a mickey mouse christmas special,"animation, family",3.6
1,movie,ernest saves christmas,comedy,3.5
2,movie,ice age: a mammoth christmas,"animation, comedy, family",3.6
3,movie,the queen family singalong,musical,3.5
5,movie,becoming cousteau,"biographical, documentary",3.6
9,movie,a muppets christmas: letters to santa,"comedy, family, musical",3.6
10,movie,adventure thru the walt disney archives,documentary,3.6
11,movie,puppy for hanukkah,"comedy, family, music",3.5
12,movie,the pixar story,"documentary, family",3.6
14,movie,america the beautiful,animals & nature,3.5
15,movie,baymax!,animation,3.5
16,movie,ciao alberto,"animation, comedy, family",3.5
19,movie,enchanted,"comedy, family, fantasy",3.5
20,movie,feast,"animation, comedy, drama",3.4
21,movie,frozen fever,"animation, family, fantasy",3.5
22,movie,get a horse!,"action-adventure, animation, comedy",3.5
23,movie,home sweet home alone,"comedy, family",3.5
24,movie,jungle cruise,"action-adventure, comedy, family",3.5
25,movie,limitless with chris hemsworth,lifestyle,3.6
26,movie,marvel studios’ 2021 disney+ day special,movies,3.6
27,movie,obi-wan kenobi,"action-adventure, science fiction",3.5
29,movie,paperman,"animation, comedy, family",3.5
30,movie,pixar 2021 disney+ day special,movies,3.5
31,movie,shang-chi and the legend of the ten rings,"action-adventure, fantasy, superhero",3.6
32,movie,spin,"coming of age, music",3.6
33,movie,tangled ever after,"animation, family",3.5
34,movie,the ballad of nessie,"animation, family, fantasy",3.6
35,movie,the little matchgirl,"animation, drama",3.6
36,movie,the making of happier than ever: a love letter to los angeles,"concert film, music",3.5
37,movie,the proud family: louder and prouder,"animation, comedy, coming of age",3.6
38,movie,the simpsons in plusaversary,"animation, comedy",3.5
39,movie,tick tock tale,"animation, crime, family",3.4
40,movie,under the helmet: the legacy of boba fett,science fiction,3.6
41,movie,willow,"action-adventure, fantasy",3.5
42,movie,alvin and the chipmunks: chipwrecked,"comedy, family, music",3.5
43,movie,jingle all the way,"comedy, family",3.5
44,movie,jingle all the way 2,"comedy, family",3.6
45,movie,prep & landing: operation secret santa,"animation, family, fantasy",3.5
46,movie,santa buddies: the legend of santa paws,"comedy, fantasy, kids",3.6
47,movie,snow buddies,"action-adventure, comedy, kids",3.6
48,movie,space buddies,"action-adventure, comedy, kids",3.6
49,movie,the search for santa paws,"drama, family, fantasy",3.5
50,movie,x-men: first class,"action-adventure, science fiction, superhero",3.6
54,movie,bob ballard: an explorer's life,"biographical, documentary",3.6
55,movie,"mcfarland, usa","drama, sports",3.5
56,movie,rookie of the year,"comedy, family, sports",3.5
57,movie,thumbelina,"animation, family, fantasy",3.6
60,movie,lost cities with albert lin: the great flood,"documentary, historical",3.6
61,movie,megacity of the maya warriors,documentary,3.5
68,movie,just roll with it: you decide live!,comedy,3.5
69,movie,mickey's tale of two witches,"animation, family, fantasy",3.5
70,movie,muppets haunted mansion,"comedy, family, musical",3.5
71,movie,the most magical story on earth: 50 years of walt disney world,"family, variety",3.6
72,movie,under wraps,"action-adventure, comedy, kids",3.5
74,movie,black widow,"action-adventure, science fiction, spy/espionage",3.6
77,movie,fauci,"biographical, documentary",3.5
80,movie,alvin and the chipmunks,"animation, comedy, family",3.5
81,movie,alvin and the chipmunks: the road chip,"comedy, family, music",3.6
82,movie,lego star wars terrifying tales,"action-adventure, animation, science fiction",3.5
83,movie,maleficent,"action-adventure, family, fantasy",3.5
84,movie,the scariest story ever: a mickey mouse halloween spooktacular,"animation, family, parody",3.6
93,movie,a spark story,documentary,3.5
94,movie,spooky buddies,"comedy, fantasy, kids",3.5
95,movie,the fault in our stars,"coming of age, drama, romance",3.6
99,movie,confessions of a shopaholic,"comedy, romance, romantic comedy",3.6
100,movie,descendants: royal wedding,"animation, fantasy, musical",3.5
101,movie,disney's broadway hits at london's royal albert hall,"concert film, music",3.4
102,movie,flooded tombs of the nile,documentary,3.5
103,movie,jade eyed leopard,"animals & nature, documentary",3.4
104,movie,nona,"animation, comedy, family",3.5
105,movie,smoky mountain park rangers,"animals & nature, documentary",3.7
109,movie,far away from raven’s home,comedy,3.4
110,movie,pirates of the caribbean: on stranger tides,"action-adventure, fantasy",3.6
111,movie,twenty something,"animation, family",3.6
116,movie,happier than ever: a love letter to los angeles,"concert film, music",3.5
117,movie,x-men: dark phoenix,"action-adventure, family, science fiction",3.4
120,movie,cruella,"crime, drama",3.5
121,movie,dan in real life,"comedy, drama, romance",3.4
122,movie,disney princess remixed - an ultimate princess celebration,"family, music, variety",3.5
123,movie,marvel one-shot: all hail the king,"comedy, drama, thriller",3.5
124,movie,underdog,"action-adventure, family, parody",3.6
128,movie,eragon,"action-adventure, family, fantasy",3.5
130,movie,fantastic four,"action-adventure, family, science fiction",3.6
131,movie,x-men,"action-adventure, family, science fiction",3.5
137,movie,beverly hills chihuahua 2,"action-adventure, comedy, family",3.5
138,movie,beverly hills chihuahua 3: viva la fiesta!,"comedy, coming of age, family",3.6
139,movie,killer shark vs killer whale,"animals & nature, documentary",3.6
140,movie,mrs. doubtfire,"comedy, drama",3.6
143,movie,built for mars: the perseverance rover,documentary,3.6
144,movie,garfield,"comedy, family",3.5
151,movie,ice age: the meltdown,"animation, comedy, family",3.6
152,movie,playing with sharks,"animals & nature, biographical, documentary",3.6
153,movie,shark vs. surfer,"animals & nature, documentary",3.6
154,movie,shark vs. whale,"animals & nature, documentary",3.6
155,movie,stuntman,documentary,3.5
156,movie,walking with dinosaurs: the movie,"action-adventure, family, fantasy",3.5
157,movie,what the shark?,"animals & nature, documentary",3.5
163,movie,most wanted sharks,"animals & nature, documentary",3.6
164,movie,secrets of the bull shark,"animals & nature, documentary",3.6
166,movie,shark attack investigation: the paige winter story,"animals & nature, documentary",3.5
167,movie,sharkcano,"animals & nature, documentary",3.6
168,movie,we bought a zoo,"animals & nature, drama, family",3.6
169,movie,world's biggest bullshark,"animals & nature, documentary",3.5
170,movie,world's most dangerous shark?,"animals & nature, documentary",3.5
172,movie,flicka,"animals & nature, coming of age, drama",3.4
173,movie,"miraculous world: shanghai, the legend of ladydragon","animation, fantasy",3.5
174,movie,orca vs. great white,"animals & nature, documentary",3.6
175,movie,rogue shark?,"animals & nature, documentary",3.6
176,movie,shark beach with chris hemsworth,"animals & nature, documentary",3.5
177,movie,shark gangs,"animals & nature, documentary",3.5
178,movie,the croc that ate jaws,"animals & nature, documentary",3.6
183,movie,"the good, the bart, and the loki","animation, comedy, fantasy",3.5
185,movie,the sandlot,"comedy, coming of age, family",3.6
186,movie,the sandlot 2,"comedy, sports",3.6
187,movie,adventures in babysitting,"action-adventure, comedy, coming of age",3.6
190,movie,wolfgang,"biographical, documentary",3.5
194,movie,luca,"animation, buddy, coming of age",3.5
197,movie,strange magic,"action-adventure, animation, family",3.5
198,movie,the happiest millionaire,"biographical, coming of age, family",3.6
199,movie,the pacifier,"action-adventure, comedy, spy/espionage",3.6
204,movie,raya and the last dragon,"action-adventure, animation, family",3.5
205,movie,red tails,"action-adventure, drama, historical",3.6
206,movie,us again,"animation, dance, family",3.5
207,movie,american eid,drama,3.6
209,movie,dinner is served,"coming of age, drama",3.5
211,movie,growing fangs,"coming of age, fantasy",3.5
213,movie,let's be tigers,drama,3.6
214,movie,the last of the chupacabras,fantasy,3.6
215,movie,the little prince(ss),drama,3.5
220,movie,tinker bell and the legend of the neverbeast,"action-adventure, animation, fantasy",3.5
225,movie,x-men: the last stand,"action-adventure, family, science fiction",3.6
227,movie,fantastic four: rise of the silver surfer,"action-adventure, family, science fiction",3.4
229,movie,wild hearts can't be broken,"biographical, drama",3.6
230,movie,"maggie simpson in ""the force awakens from its nap""","animation, comedy, parody",3.5
231,movie,star wars biomes,science fiction,3.6
235,movie,22 vs. earth,"animation, comedy, family",3.5
237,movie,disney my music story sukimaswitch,"biographical, documentary, music",3.5
239,movie,oklahoma!,"musical, romance, western",3.5
240,movie,baby's day out,"action-adventure, comedy, crime",3.5
241,movie,being the queen,"biographical, documentary",3.6
247,movie,rio,"action-adventure, animation, comedy",3.5
248,movie,the kid who would be king,"action-adventure, coming of age, family",3.5
249,movie,treasure buddies,"action-adventure, comedy, kids",3.6
250,movie,white fang 2: myth of the white wolf,"action-adventure, animals & nature, drama",3.6
251,movie,cesar millan: the real story,"biographical, documentary",3.6
254,movie,man of the house,"comedy, coming of age, crime",3.5
255,movie,mark twain and me,"biographical, coming of age, drama",3.7
256,movie,squanto: a warrior's tale,"action-adventure, biographical, drama",3.6
257,movie,caravan of courage: an ewok adventure,"action-adventure, fantasy, science fiction",3.5
258,movie,ewoks: the battle for endor,"action-adventure, fantasy, science fiction",3.6
260,movie,island at the top of the world,"action-adventure, fantasy, survival",3.4
262,movie,night at the museum,"action-adventure, comedy, family",3.5
264,movie,sharks of the bermuda triangle,"animals & nature, documentary",3.6
266,movie,star wars vintage: story of the faithful wookiee,animation,3.5
268,movie,the big year,"animals & nature, comedy",3.5
269,movie,the last ice,"animals & nature, documentary",3.6
270,movie,third man on the mountain,"action-adventure, coming of age, family",3.5
272,movie,gnomeo & juliet,"action-adventure, animation, family",3.6
276,movie,disney my music story: perfume,"biographical, documentary, music",3.6
279,movie,doc mcstuffins: the doc is in,"animation, kids, medical",3.6
281,movie,miss peregrine's home for peculiar children,"coming of age, fantasy",3.5
282,movie,own the room,documentary,3.5
283,movie,garfield: a tail of two kitties,"comedy, family, kids",3.5
290,movie,myth: a frozen tale,"animation, family, fantasy",3.5
291,movie,okavango: river of dreams,"animals & nature, documentary",3.5
294,movie,shanghai disney resort grand opening gala,variety,3.5
295,movie,cheaper by the dozen,"comedy, family",3.6
296,movie,cheaper by the dozen 2,"comedy, family",3.6
297,movie,flora & ulysses,"comedy, coming of age, drama",3.5
298,movie,the book of life,"action-adventure, animation, comedy",3.5
301,movie,marvel's behind the mask,"anthology, documentary",3.6
302,movie,rodgers & hammerstein's cinderella,"comedy, family, fantasy",3.5
303,movie,you again,comedy,3.5
304,movie,disney my music story: yoshiki,"biographical, documentary, music",3.5
305,movie,expedition everest,"animals & nature, documentary",3.6
306,movie,upside-down magic,"coming of age, fantasy",3.6
309,movie,texas storm squad,documentary,3.5
311,movie,wild uganda,"animals & nature, documentary",3.6
313,movie,isle of dogs,"action-adventure, animation, comedy",3.6
314,movie,mary poppins returns,"family, fantasy, musical",3.5
317,movie,ferdinand,"action-adventure, animation, comedy",3.6
319,movie,toy story: that time forgot,"action-adventure, animation, comedy",3.5
320,movie,700 sharks,"animals & nature, documentary",3.5
321,movie,big sharks rule,"animals & nature, documentary",3.5
322,movie,dr. seuss' horton hears a who!,"animation, comedy, family",3.5
323,movie,great shark chow down,"animals & nature, documentary",3.5
324,movie,mega hammerhead,"animals & nature, documentary",3.6
325,movie,burrow,"animation, family",3.5
328,movie,max keeble's big move,"comedy, family",3.5
329,movie,soul,"animation, comedy, family",3.6
330,movie,arendelle castle yule log,"animation, family",3.5
331,movie,buried truth of the maya,"documentary, historical",3.5
333,movie,dory's reef cam,"animation, family",3.6
334,movie,into the woods,"action-adventure, fantasy, musical",3.6
335,movie,"miraculous world: new york, united heroez","action-adventure, animation, fantasy",3.5
338,movie,disney channel's epic holiday showdown,"fantasy, variety",3.4
339,movie,disney holiday magic quest,movies,3.6
340,movie,gender revolution: a journey with katie couric,documentary,3.5
341,movie,high school musical: the musical: the holiday special,"drama, music, romance",3.6
342,movie,ralph breaks the internet,"action-adventure, animation, comedy",3.6
343,movie,safety,"biographical, drama, sports",3.6
344,movie,anastasia,"animation, family, fantasy",3.5
345,movie,godmothered,"comedy, family, fantasy",3.6
346,movie,man vs. shark,"animals & nature, documentary",3.6
347,movie,mulan,"action-adventure, coming of age, drama",3.6
348,movie,sky high,"action-adventure, comedy, family",3.5
349,movie,the disney holiday singalong,"family, music, variety",3.5
350,movie,the nutcracker and the four realms,"action-adventure, family, fantasy",3.6
351,movie,"alexander and the terrible, horrible, no good, very bad day","comedy, coming of age, family",3.5
352,movie,black beauty,"animals & nature, coming of age, drama",3.6
353,movie,from our family to yours,"animation, family",3.5
356,movie,folklore: the long pond studio sessions,"documentary, music",3.4
359,movie,planes,"action-adventure, animation, comedy",3.6
360,movie,planes: fire & rescue,"action-adventure, animation, comedy",3.6
361,movie,the real right stuff,"documentary, historical",3.5
363,movie,lego star wars holiday special,"action-adventure, animation, comedy",3.6
364,movie,home alone,"comedy, family",3.6
365,movie,home alone 2: lost in new york,"comedy, family",3.5
366,movie,home alone 3,"comedy, family",3.5
368,movie,petra: secrets of the ancient builders,"documentary, historical",3.5
369,movie,ultimate viking sword,"documentary, historical",3.6
370,movie,disney's a christmas carol,"animation, fantasy",3.5
373,movie,mr. magoo,"action-adventure, comedy, crime",3.5
374,movie,prep & landing,"animation, family, fantasy",3.6
375,movie,prep & landing: naughty vs. nice,"animation, family, fantasy",3.6
376,movie,disney channel halloween house party,"comedy, variety",3.6
378,movie,the sorcerer's apprentice,"action-adventure, fantasy",3.5
383,movie,once upon a snowman,"animation, comedy, coming of age",3.5
384,movie,pompeii: secrets of the dead,"documentary, historical",3.5
385,movie,toy story of terror!,"animation, comedy, family",3.5
386,movie,beverly hills chihuahua,"action-adventure, comedy, family",3.5
387,movie,clouds,"biographical, drama, music",3.5
388,movie,lost on everest,"animals & nature, documentary, survival",3.6
389,movie,marvel's iron man & captain america: heroes united,"action-adventure, animation, science fiction",3.6
392,movie,oil spill of the century,"documentary, historical",3.6
393,movie,the chronicles of narnia: the voyage of the dawn treader,"action-adventure, family, fantasy",3.5
395,movie,wild portugal,"animals & nature, documentary, family",3.6
396,movie,x2,"action-adventure, family, science fiction",3.5
397,movie,mr. holland's opus,"drama, music",3.5
398,movie,disneynature oceans,"animals & nature, documentary, family",3.5
399,movie,hidden figures,"biographical, drama, family",3.6
401,movie,secret society of second-born royals,"action-adventure, coming of age, family",3.4
402,movie,the giant robber crab,"animals & nature, documentary",3.6
408,movie,ever after: a cinderella story,"drama, romance",3.6
410,movie,morning light,"documentary, sports",3.5
411,movie,notre dame: race against the inferno,documentary,3.5
415,movie,christopher robin,"drama, family, fantasy",3.5
416,movie,d2: the mighty ducks,"comedy, drama, family",3.5
417,movie,d3: the mighty ducks,"comedy, coming of age, drama",3.6
419,movie,trick or treat,"animation, family, fantasy",3.5
420,movie,alice through the looking glass,"action-adventure, fantasy",3.5
421,movie,phineas and ferb the movie: candace against the universe,"action-adventure, animation, comedy",3.6
422,movie,back to the titanic,"documentary, historical",3.4
423,movie,beauty and the beast,"family, fantasy, musical",3.6
424,movie,mars: one day on the red planet,documentary,3.5
425,movie,the one and only ivan,"drama, family, fantasy",3.5
428,movie,disney zombies 2,"coming of age, fantasy, musical",3.5
429,movie,india's wild leopards,"animals & nature, documentary",3.5
431,movie,magic camp,"comedy, family",3.5
432,movie,marvel studios' ant-man and the wasp,"action-adventure, comedy, science fiction",3.5
437,movie,the greatest showman,"biographical, drama, family",3.6
440,movie,howard,"biographical, documentary, music",3.4
441,movie,prince of persia: the sands of time,"action-adventure, fantasy",3.6
442,movie,star wars: galaxy's edge-adventure awaits,"documentary, family",3.5
443,movie,the hidden kingdoms of china,"animals & nature, documentary, family",3.5
444,movie,the peanuts movie,"animation, comedy, family",3.5
448,movie,big cat games,"animals & nature, family, reality",3.4
449,movie,black is king,"dance, music, musical",3.5
450,movie,cradle of the gods,"documentary, historical",3.5
453,movie,hunt for the abominable snowman,documentary,3.5
454,movie,incredibles 2,"action-adventure, animation, family",3.5
456,movie,lost temple of the inca,documentary,3.6
459,movie,surviving the mount st. helens disaster,"animals & nature, documentary",3.6
461,movie,pirates of the caribbean: dead men tell no tales,"action-adventure, fantasy",3.6
466,movie,a pre-opening report from disneyland,"documentary, family, historical",3.6
467,movie,diary of a wimpy kid: the long haul,"comedy, family",3.5
469,movie,lost city of machu picchu,"documentary, family",3.6
471,movie,the mouseketeers at walt disney world,"coming of age, drama, family",3.5
473,movie,x-men: apocalypse,"action-adventure, family, science fiction",3.6
475,movie,hamilton: history has its eyes on you,"historical, musical",3.5
476,movie,solo: a star wars story,"action-adventure, crime, science fiction",3.6
477,movie,x-men: days of future past,"action-adventure, family, science fiction",3.5
478,movie,the undefeated presents: hamilton in-depth,"historical, musical",3.5
480,movie,diary of a wimpy kid: rodrick rules,"comedy, family",3.5
481,movie,hamilton,"biographical, historical, musical",3.5
482,movie,ice age: collision course,"action-adventure, animation, comedy",3.6
483,movie,race to witch mountain,"action-adventure, family, science fiction",3.6
484,movie,the big green,"comedy, family, sports",3.6
485,movie,the mighty ducks,"comedy, drama, sports",3.5
486,movie,while you were sleeping,"comedy, drama, romance",3.5
489,movie,man in space,"documentary, family",3.5
490,movie,mars and beyond,"animation, documentary, family",3.6
491,movie,marvel studios' avengers: infinity war,"action-adventure, fantasy, science fiction",3.5
492,movie,tarzan,"action-adventure, animation, coming of age",3.5
493,movie,tarzan ii,"action-adventure, animation, coming of age",3.7
495,movie,big sur: wild california,"animals & nature, documentary, family",3.6
497,movie,egypt's treasure guardians,"documentary, historical",3.5
498,movie,the jungle book,"action-adventure, coming of age, family",3.5
499,movie,the pirate fairy,"action-adventure, animation, family",3.5
500,movie,trail mix-up,"action-adventure, animation, comedy",3.5
501,movie,tummy trouble,"action-adventure, animation, comedy",3.5
502,movie,artemis fowl,"action-adventure, crime, fantasy",3.5
504,movie,the liberty story,"drama, family, historical",3.6
505,movie,the story of the animated drawing,"documentary, family",3.6
506,movie,walt & el grupo,"documentary, historical",3.6
508,movie,america's greatest animals,"animals & nature, documentary, family",3.5
509,movie,chasing the equinox,documentary,3.6
512,movie,percy jackson & the olympians: the lightning thief,"action-adventure, family, fantasy",3.5
516,movie,women of impact: changing the world,"documentary, historical",3.5
517,movie,"maggie simpson in ""the longest daycare""","animation, comedy",3.5
518,movie,mickey and the seal,"animation, family",3.6
520,movie,the moon-spinners,"crime, drama, mystery",3.5
522,movie,fantastic mr. fox,"animation, comedy, crime",3.5
523,movie,"hello, dolly!","comedy, musical, romance",3.6
525,movie,out,"animation, family, fantasy",3.5
527,movie,the boys: the sherman brothers' story,"biographical, documentary, music",3.6
529,movie,maleficent: mistress of evil,"action-adventure, family, fantasy",3.6
530,movie,star wars: the rise of skywalker (episode ix),"action-adventure, family, science fiction",3.4
531,movie,john carter,"action-adventure, family, fantasy",3.5
534,movie,bride of boogedy,"action-adventure, family, fantasy",3.5
537,movie,george of the jungle,"action-adventure, comedy, family",3.5
538,movie,homeward bound ii: lost in san francisco,"action-adventure, animals & nature, family",3.6
539,movie,homeward bound: the incredible journey,"action-adventure, animals & nature, family",3.5
540,movie,how to play baseball,"animation, family, sports",3.6
541,movie,in beaver valley,"animals & nature, documentary, family",3.5
544,movie,nature's half acre,"animals & nature, documentary, family",3.5
546,movie,prowlers of the everglades,"animals & nature, documentary",3.5
547,movie,the princess bride,"action-adventure, comedy, family",3.5
550,movie,water birds,"animals & nature, documentary, family",3.5
551,movie,national treasure,"action-adventure, mystery, thriller",3.5
552,movie,born wild: the next generation,"animals & nature, documentary",3.5
554,movie,the olympic elk,"animals & nature, documentary, family",3.5
556,movie,jane goodall: the hope,"biographical, documentary",3.6
559,movie,let's stick together,"animation, family",3.6
560,movie,pluto's purchase,"animation, family",3.5
562,movie,a celebration of the music from coco,"concert film, music, musical",3.4
564,movie,"maggie simpson in ""playdate with destiny""","animation, comedy",3.6
567,movie,a tale of two critters,"animals & nature, family",3.4
568,movie,all in a nutshell,"animation, family",3.5
569,movie,disneynature penguins,"animals & nature, documentary, family",3.5
570,movie,diving with dolphins,"animals & nature, documentary, family",3.6
571,movie,dolphin reef,"animals & nature, documentary, family",3.5
572,movie,don's fountain of youth,"animation, family",3.5
573,movie,donald's dog laundry,"animation, family",3.5
574,movie,double dribble,"animation, family, sports",3.5
575,movie,dragon around,"animation, family",3.6
576,movie,elephant,"animals & nature, documentary, family",3.5
577,movie,elmer elephant,"animation, family",3.5
579,movie,how to play football,"animation, family, parody",3.5
580,movie,in the footsteps of elephant,"animals & nature, documentary, family",3.6
581,movie,"lambert, the sheepish lion","animation, family",3.5
582,movie,on ice,"animation, comedy, family",3.6
583,movie,onward,"action-adventure, animation, comedy",3.6
584,movie,out of scale,"animation, family",3.5
585,movie,penguins: life on the edge,"animals & nature, documentary, family",3.5
586,movie,pluto's party,"animation, family",3.5
587,movie,sea scouts,"animation, family",3.5
589,movie,the boy who talked to badgers,"action-adventure, animals & nature, drama",3.5
590,movie,the new neighbor,"animation, family",3.5
591,movie,the small one,"animation, family, historical",3.6
592,movie,the straight story,"biographical, drama",3.6
593,movie,frankenweenie,"animation, comedy, drama",3.5
594,movie,mars needs moms,"action-adventure, animation, family",3.5
595,movie,prom,"comedy, coming of age, drama",3.6
596,movie,the last song,"coming of age, drama, music",3.5
597,movie,the odd life of timothy green,"drama, family, fantasy",3.6
599,movie,a wrinkle in time,"action-adventure, coming of age, family",3.5
603,movie,g-force,"action-adventure, comedy, family",3.6
604,movie,frozen 2,"action-adventure, animation, family",3.6
605,movie,stargirl,"coming of age, drama, musical",3.5
606,movie,the finest hours,"action-adventure, disaster, drama",3.5
607,movie,the sandlot: heading home,"comedy, family, sports",3.5
608,movie,bedtime stories,"comedy, family, fantasy",3.5
609,movie,marvel studios' black panther,"action-adventure, science fiction, superhero",3.5
611,movie,disney phineas and ferb: phineas and ferb star wars,"action-adventure, animation, musical",3.5
613,movie,viking warrior women,"documentary, historical",3.5
616,movie,marvel rising: operation shuri,"action-adventure, animation, coming of age",3.6
617,movie,marvel rising: playing with fire,"action-adventure, animation, coming of age",3.5
619,movie,marvel's iron man & hulk: heroes united,"action-adventure, animation, science fiction",3.6
620,movie,because of winn-dixie,"comedy, drama, family",3.6
622,movie,"my dog, the thief","action-adventure, comedy, family",3.5
623,movie,splash,"comedy, fantasy, romance",3.6
625,movie,timmy failure: mistakes were made,"buddy, comedy, drama",3.5
626,movie,toy story 4,"action-adventure, animation, comedy",3.5
627,movie,descendants 3,"coming of age, fantasy, musical",3.5
628,movie,around the world in 80 days,"action-adventure, comedy, family",3.5
629,movie,big business,comedy,3.5
630,movie,lamp life,"animation, comedy, family",3.5
631,movie,the lion king,"action-adventure, coming of age, drama",3.6
640,movie,destino,"animation, family, romance",3.5
641,movie,forky asks a question: what is reading?,"animation, comedy, family",3.5
642,movie,loop,"animation, family",3.6
644,movie,aladdin (2019),"action-adventure, family, fantasy",3.5
645,movie,forky asks a question: what is cheese?,"animation, comedy, family",3.6
648,movie,cars toon: el materdor,"animation, comedy, family",3.6
649,movie,cars toon: moon mater,"animation, comedy, family",3.6
650,movie,cars toon: rescue squad mater,"animation, comedy, family",3.5
651,movie,cars toon: spinning,"animation, family",3.5
652,movie,cars toon: time travel mater,"animation, comedy, family",3.6
653,movie,cars toon: tokyo mater,"animation, comedy, family",3.5
